,design,predictor,sample_type,sample_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_size_err,median_precision,median_recall,median_fscore,median_size_err
104,rsdecoder,DATE,solver,0.5,1000000000000.0,,,0.854974366355398,0.8178368652477872,0.8159176342271822,0.2853051549899607,0.9076923076923076,0.8363636363636363,0.8235294117647058,0.17117117117117114
105,rsdecoder,suspect2vec,solver,0.5,1000000000000.0,20.0,0.0,0.8929775913841327,0.8924485995555114,0.8710035986630786,0.5194455519672807,0.9868995633187772,0.9218106995884774,0.9269662921348316,0.12037037037037035
106,rsdecoder,suspect2vec,solver,0.5,1000000000000.0,30.0,0.0,0.8884909091683659,0.8894848921231417,0.866753619113688,0.5303307866402953,0.9842105263157894,0.9126984126984128,0.9230769230769232,0.1124260355029586
107,rsdecoder,suspect2vec,solver,0.5,1000000000000.0,20.0,0.1,0.8697947215131993,0.805282189597378,0.8152463891351693,0.3743480578015072,0.9579439252336448,0.8163265306122449,0.8461538461538459,0.2
108,spi,DATE,solver,0.5,1000000000000.0,,,0.9339227595426888,0.6817140020400171,0.7727583668450466,0.29694217561249736,1.0,0.7029702970297029,0.7606142728093948,0.297029702970297
109,spi,suspect2vec,solver,0.5,1000000000000.0,20.0,0.0,0.9627084343451596,0.9221824937713292,0.9383826621579484,0.0880613629674286,0.9965753424657534,0.9451127819548872,0.956227189781022,0.048489932885906036
110,spi,suspect2vec,solver,0.5,1000000000000.0,30.0,0.0,0.9647734445005494,0.926799665958342,0.9417634266627344,0.08541740398985741,1.0,0.9545454545454546,0.9657986429488356,0.045454545454545456
111,spi,suspect2vec,solver,0.5,1000000000000.0,20.0,0.1,0.9255782635950944,0.8418893185551991,0.8730849070091783,0.17357834784202733,0.9638984464602232,0.890234430165231,0.8947368421052632,0.13333333333333333
112,aemb,DATE,solver,0.6,1000000000000.0,,,0.8292382645570069,0.8274864261611555,0.813065277712583,0.2622817521921384,0.8992805755395683,0.8362068965517241,0.848,0.10443037974683543
113,aemb,suspect2vec,solver,0.6,1000000000000.0,20.0,0.0,0.7828514312456861,0.8617225689314862,0.8006283037945786,0.4233309141485225,0.8604651162790697,0.84375,0.8375451263537907,0.11464968152866242
114,divider,DATE,solver,0.6,1000000000000.0,,,0.9651021971667176,0.8011824230103586,0.8674380681019228,0.20560651417936548,1.0,0.7777777777777778,0.8571428571428571,0.2222222222222222
115,divider,suspect2vec,solver,0.6,1000000000000.0,20.0,0.0,0.9677219651321936,0.9760237425632974,0.9693765264899188,0.05599990014413292,1.0,1.0,0.9928057553956836,0.013157894736842105
116,ethernet,DATE,solver,0.6,1000000000000.0,,,0.849392658102651,0.9030542907786728,0.8633103124985019,0.2189017123171831,0.8902439024390244,0.9636243386243386,0.8885544435247197,0.13185328185328185
117,ethernet,suspect2vec,solver,0.6,1000000000000.0,20.0,0.0,0.939073955562588,0.9679806128012464,0.9493926396179508,0.08049603236557436,1.0,1.0,0.9873608903020668,0.012112472963229991
118,fdct,DATE,solver,0.6,1000000000000.0,,,0.8680701999731707,0.8935705649551766,0.8732858869648942,0.17385734209670506,0.8923076923076924,0.9166666666666666,0.8854489164086687,0.15789473684210525
119,fdct,suspect2vec,solver,0.6,1000000000000.0,20.0,0.0,0.9358991797403544,0.9041170332182824,0.9085959947017396,0.17975132643136274,1.0,0.9453125,0.9107142857142858,0.07407407407407407
120,fpu,DATE,solver,0.6,1000000000000.0,,,0.7362928827515091,0.7908992575595486,0.7455449960681578,0.31240553790831943,0.75,0.75,0.7669902912621359,0.16666666666666666
121,fpu,suspect2vec,solver,0.6,1000000000000.0,20.0,0.0,0.8021327904008309,0.8255836379766514,0.7923168520954732,0.3238480865666443,0.875,0.8636363636363636,0.7999999999999999,0.17391304347826084
122,rsdecoder,DATE,solver,0.6,1000000000000.0,,,0.8331949693126521,0.8863117972220813,0.8437182817041778,0.26752992961273075,0.8812260536398467,0.9090909090909092,0.8758169934640523,0.13973799126637554
123,rsdecoder,suspect2vec,solver,0.6,1000000000000.0,20.0,0.0,0.9019798241270874,0.9156292214355596,0.8882377441796405,0.4549208798091145,0.9866666666666668,0.9466666666666668,0.9463087248322148,0.07142857142857142
124,spi,DATE,solver,0.6,1000000000000.0,,,0.9155700700191048,0.7533514079162313,0.8170676610610118,0.2239198273520407,1.0,0.7619047619047619,0.8181818181818182,0.2215189873417721
125,spi,suspect2vec,solver,0.6,1000000000000.0,20.0,0.0,0.965525639789357,0.9443675303278494,0.9520103080908312,0.06834226490243303,1.0,0.9682759198726008,0.9719735497297096,0.022900763358778626
126,aemb,DATE,solver,0.7,1000000000000.0,,,0.8015350765695171,0.8902099481405124,0.8278500702800716,0.29088829307920594,0.8444444444444444,0.8888888888888888,0.875,0.10909090909090907
127,aemb,suspect2vec,solver,0.7,1000000000000.0,20.0,0.0,0.788176108874425,0.9212859459671341,0.8322542714128155,0.41650000957671296,0.8719512195121951,0.93,0.8794567062818337,0.11320754716981132
128,divider,DATE,solver,0.7,1000000000000.0,,,0.9390519908910381,0.9253531027436002,0.9265969789476108,0.12100447109095755,0.95,0.9722222222222222,0.9375,0.08571428571428573
129,divider,suspect2vec,solver,0.7,1000000000000.0,20.0,0.0,0.966757872940372,0.99307248114751,0.9781272350708714,0.04385506392180656,1.0,1.0,0.9944134078212292,0.0
